variante_id,label,TP,FP,FN,TN,Precision,Recall,F1,FPR,suppressed_count,suppressed_rate,delta_TP,delta_FP,delta_FN,delta_F1,delta_Recall,delta_Precision
BASELINE,"Baseline v1.4 (threshold=62, sem guard rail)",346,18,9,5627,0.950549,0.974648,0.962448,0.00318866,0,0.0,0,0,0,0.0,0.0,0.0
V1,Guard rail 0.30,345,15,10,5630,0.958333,0.971831,0.965035,0.00265722,5,0.000833,-1,-3,1,0.002587,-0.002817,0.007784
V2,Guard rail 0.20,345,15,10,5630,0.958333,0.971831,0.965035,0.00265722,5,0.000833,-1,-3,1,0.002587,-0.002817,0.007784
V3,Guard rail 0.40,345,15,10,5630,0.958333,0.971831,0.965035,0.00265722,5,0.000833,-1,-3,1,0.002587,-0.002817,0.007784
