model,feature,importance
RF_SHALLOW_BALANCED,meta_rel_inv,0.0003425608223348542
RF_SHALLOW_BALANCED,pix_key_random_flag,0.000324039585902206
RF_SHALLOW_BALANCED,meta_age_60_plus,8.93928640214411e-05
RF_SHALLOW_BALANCED,first_receiver_flag,8.047671688259634e-05
RF_SHALLOW_BALANCED,meta_score_near_confirmar,6.027033967298292e-05
RF_SHALLOW_BALANCED,meta_valor_100_500,5.9488335077888766e-05
RF_SHALLOW_BALANCED,meta_lgbm_gray,4.8922443758361834e-05
RF_SHALLOW_BALANCED,meta_valor_15k_plus,1.9824248995973327e-05
RF_SHALLOW_BALANCED,meta_relcurto_x_first,4.288229857850691e-07
RF_SHALLOW_BALANCED,meta_valor_5k_plus,7.10455531030557e-09
