n_estimators,max_samples,max_features,contamination,val_ap,val_auc,val_recall_5pct
500,0.7,0.8,0.03,0.31390934849295243,0.8775492036659525,0.5569620253164557
500,0.7,0.8,0.02,0.31390934849295243,0.8775492036659525,0.5569620253164557
500,0.7,0.8,0.005,0.31390934849295243,0.8775492036659525,0.5569620253164557
500,0.7,0.8,0.01,0.31390934849295243,0.8775492036659525,0.5569620253164557
500,0.7,0.7,0.02,0.31324173639264125,0.8813686459955125,0.5569620253164557
500,0.7,0.7,0.03,0.31324173639264125,0.8813686459955125,0.5569620253164557
500,0.7,0.7,0.05,0.31324173639264125,0.8813686459955125,0.5569620253164557
500,0.7,0.7,0.08,0.31324173639264125,0.8813686459955125,0.5569620253164557
500,0.7,0.7,0.005,0.31324173639264125,0.8813686459955125,0.5569620253164557
500,0.7,0.7,0.01,0.31324173639264125,0.8813686459955125,0.5569620253164557
300,0.8,0.8,0.03,0.30780611840012734,0.8749558997780581,0.5569620253164557
300,0.8,0.8,0.02,0.30780611840012734,0.8749558997780581,0.5569620253164557
300,0.8,0.8,0.05,0.30780611840012734,0.8749558997780581,0.5569620253164557
300,0.8,0.8,0.08,0.30780611840012734,0.8749558997780581,0.5569620253164557
300,0.8,0.8,0.01,0.30780611840012734,0.8749558997780581,0.5569620253164557
300,0.8,0.8,0.005,0.30780611840012734,0.8749558997780581,0.5569620253164557
300,0.7,0.6,0.03,0.3071944132649464,0.8796461018683501,0.5443037974683544
300,0.7,0.6,0.02,0.3071944132649464,0.8796461018683501,0.5443037974683544
300,0.7,0.6,0.08,0.3071944132649464,0.8796461018683501,0.5443037974683544
300,0.7,0.6,0.05,0.3071944132649464,0.8796461018683501,0.5443037974683544
300,0.7,0.6,0.005,0.3071944132649464,0.8796461018683501,0.5443037974683544
300,0.7,0.6,0.01,0.3071944132649464,0.8796461018683501,0.5443037974683544
300,0.7,0.8,0.005,0.30514869405558936,0.8828035137744963,0.5569620253164557
300,0.7,0.8,0.01,0.30514869405558936,0.8828035137744963,0.5569620253164557
300,0.7,0.8,0.05,0.30514869405558936,0.8828035137744963,0.5569620253164557
300,0.7,0.8,0.08,0.30514869405558936,0.8828035137744963,0.5569620253164557
300,0.7,0.8,0.03,0.30514869405558936,0.8828035137744963,0.5569620253164557
300,0.7,0.8,0.02,0.30514869405558936,0.8828035137744963,0.5569620253164557
