threshold,tp,fp,fn,tn,precision,recall,f1,fpr
0.465,79,5818,1,4138,0.013397,0.9875,0.026435,0.584371
0.47,79,5776,1,4180,0.013493,0.9875,0.026622,0.580153
0.475,79,5723,1,4233,0.013616,0.9875,0.026862,0.574829
0.48,79,5663,1,4293,0.013758,0.9875,0.027138,0.568803
0.485,79,5601,1,4355,0.013908,0.9875,0.027431,0.562575
0.49,79,5540,1,4416,0.014059,0.9875,0.027724,0.556448
0.495,79,5493,1,4463,0.014178,0.9875,0.027955,0.551728
0.5,79,5420,1,4536,0.014366,0.9875,0.02832,0.544395
0.505,79,5369,1,4587,0.014501,0.9875,0.028582,0.539273
0.51,79,5322,1,4634,0.014627,0.9875,0.028827,0.534552
0.515,79,5249,1,4707,0.014827,0.9875,0.029216,0.52722
0.52,79,5185,1,4771,0.015008,0.9875,0.029566,0.520791
0.525,79,5141,1,4815,0.015134,0.9875,0.029811,0.516372
0.53,79,5105,1,4851,0.015239,0.9875,0.030015,0.512756
0.535,79,5057,1,4899,0.015382,0.9875,0.030291,0.507935
0.54,79,5017,1,4939,0.015502,0.9875,0.030526,0.503917
0.545,79,4973,1,4983,0.015637,0.9875,0.030787,0.499498
0.55,79,4923,1,5033,0.015794,0.9875,0.03109,0.494476
0.555,79,4873,1,5083,0.015953,0.9875,0.031399,0.489454
0.56,79,4824,1,5132,0.016113,0.9875,0.031708,0.484532
0.565,79,4769,1,5187,0.016295,0.9875,0.032062,0.479008
0.57,79,4707,1,5249,0.016506,0.9875,0.03247,0.47278
0.575,79,4661,1,5295,0.016667,0.9875,0.03278,0.46816
0.58,79,4623,1,5333,0.016801,0.9875,0.033041,0.464343
0.585,79,4569,1,5387,0.016997,0.9875,0.033418,0.458919
0.59,78,4523,2,5433,0.016953,0.975,0.033326,0.454299
0.595,78,4474,2,5482,0.017135,0.975,0.033679,0.449377
0.6,78,4435,2,5521,0.017283,0.975,0.033965,0.44546
0.605,78,4381,2,5575,0.017493,0.975,0.034369,0.440036
0.61,78,4325,2,5631,0.017715,0.975,0.034798,0.434411
0.615,78,4298,2,5658,0.017824,0.975,0.035009,0.431699
0.62,78,4247,2,5709,0.018035,0.975,0.035414,0.426577
0.625,78,4198,2,5758,0.018241,0.975,0.035813,0.421655
0.63,78,4142,2,5814,0.018483,0.975,0.036279,0.416031
0.635,78,4096,2,5860,0.018687,0.975,0.036671,0.41141
0.64,78,4045,2,5911,0.018918,0.975,0.037116,0.406288
0.645,78,4006,2,5950,0.019099,0.975,0.037464,0.40237
0.65,78,3956,2,6000,0.019336,0.975,0.037919,0.397348
0.655,78,3902,2,6054,0.019598,0.975,0.038424,0.391924
0.66,78,3875,2,6081,0.019732,0.975,0.038681,0.389213
0.665,78,3820,2,6136,0.02001,0.975,0.039216,0.383688
0.67,77,3762,3,6194,0.020057,0.9625,0.039296,0.377863
0.675,77,3723,3,6233,0.020263,0.9625,0.039691,0.373945
0.68,77,3669,3,6287,0.020555,0.9625,0.040251,0.368521
0.685,77,3622,3,6334,0.020816,0.9625,0.040752,0.363801
0.69,77,3579,3,6377,0.021061,0.9625,0.041221,0.359482
0.695,77,3521,3,6435,0.021401,0.9625,0.041871,0.353656
0.7,77,3471,3,6485,0.021702,0.9625,0.042448,0.348634
0.705,77,3410,3,6546,0.022082,0.9625,0.043174,0.342507
0.71,77,3373,3,6583,0.022319,0.9625,0.043626,0.338791
0.715,77,3327,3,6629,0.02262,0.9625,0.044202,0.33417
0.72,77,3271,3,6685,0.022999,0.9625,0.044924,0.328546
0.725,77,3232,3,6724,0.02327,0.9625,0.045441,0.324628
0.73,77,3193,3,6763,0.023547,0.9625,0.04597,0.320711
0.735,77,3153,3,6803,0.023839,0.9625,0.046526,0.316693
0.74,77,3115,3,6841,0.024123,0.9625,0.047066,0.312877
0.745,77,3067,3,6889,0.024491,0.9625,0.047767,0.308055
0.75,77,3011,3,6945,0.024935,0.9625,0.048611,0.302431
0.755,77,2956,3,7000,0.025387,0.9625,0.04947,0.296906
0.76,77,2920,3,7036,0.025692,0.9625,0.050049,0.29329
0.765,77,2873,3,7083,0.026102,0.9625,0.050825,0.28857
0.77,77,2820,3,7136,0.026579,0.9625,0.05173,0.283246
0.775,77,2755,3,7201,0.027189,0.9625,0.052885,0.276718
0.78,77,2681,3,7275,0.027919,0.9625,0.054264,0.269285
0.785,77,2604,3,7352,0.028721,0.9625,0.055777,0.261551
0.79,77,2537,3,7419,0.029457,0.9625,0.057164,0.254821
0.795,77,2480,3,7476,0.030113,0.9625,0.0584,0.249096
0.8,77,2429,3,7527,0.030726,0.9625,0.059551,0.243973
0.805,77,2379,3,7577,0.031352,0.9625,0.060726,0.238951
0.81,77,2327,3,7629,0.03203,0.9625,0.061997,0.233728
0.815,77,2289,3,7667,0.032544,0.9625,0.06296,0.229912
0.82,77,2245,3,7711,0.033161,0.9625,0.064113,0.225492
0.825,77,2187,3,7769,0.034011,0.9625,0.0657,0.219667
0.83,77,2126,3,7830,0.034952,0.9625,0.067455,0.21354
0.835,77,2061,3,7895,0.036015,0.9625,0.069432,0.207011
0.84,77,2001,3,7955,0.037055,0.9625,0.071362,0.200984
0.845,77,1937,3,8019,0.038232,0.9625,0.073543,0.194556
0.85,77,1885,3,8071,0.039246,0.9625,0.075416,0.189333
0.855,77,1820,3,8136,0.04059,0.9625,0.077896,0.182804
0.86,77,1744,3,8212,0.042284,0.9625,0.08101,0.175171
0.865,77,1685,3,8271,0.0437,0.9625,0.083605,0.169245
0.87,77,1643,3,8313,0.044767,0.9625,0.085556,0.165026
0.875,77,1569,3,8387,0.04678,0.9625,0.089224,0.157593
0.88,76,1515,4,8441,0.047769,0.95,0.090963,0.15217
0.885,74,1451,6,8505,0.048525,0.925,0.092212,0.145741
0.89,74,1390,6,8566,0.050546,0.925,0.095855,0.139614
0.895,74,1316,6,8640,0.053237,0.925,0.10068,0.132182
0.9,73,1262,7,8694,0.054682,0.9125,0.10318,0.126758
0.905,73,1172,7,8784,0.058635,0.9125,0.110189,0.117718
0.91,73,1108,7,8848,0.061812,0.9125,0.115781,0.11129
0.915,72,1047,8,8909,0.064343,0.9,0.1201,0.105163
0.92,71,982,9,8974,0.067426,0.8875,0.125331,0.098634
0.925,71,912,9,9044,0.072228,0.8875,0.133584,0.091603
0.93,71,844,9,9112,0.077596,0.8875,0.142714,0.084773
0.935,71,783,9,9173,0.083138,0.8875,0.152034,0.078646
0.94,70,729,10,9227,0.08761,0.875,0.159272,0.073222
0.945,68,640,12,9316,0.096045,0.85,0.172589,0.064283
0.95,67,563,13,9393,0.106349,0.8375,0.188732,0.056549
0.955,67,511,13,9445,0.115917,0.8375,0.203647,0.051326
