split,is_fraud,anomaly_score,is_first_tx
holdout,0,0.6831525524927854,0
holdout,0,0.39924370584137725,1
holdout,0,0.3793412279828839,1
holdout,0,0.9467608717285302,0
holdout,0,0.6905164693004279,0
holdout,0,0.9472584336749925,1
holdout,0,0.363817295253259,1
holdout,0,0.06110060702557468,1
holdout,0,0.08896407602746542,1
holdout,0,0.18688426709125286,0
holdout,0,0.7206687232560454,1
holdout,0,0.5602547517165887,1
holdout,0,0.7754005373669022,1
holdout,0,0.6805652303711812,1
holdout,0,0.870832918698378,0
holdout,0,0.44312866951935515,1
holdout,0,0.8583938700368196,1
holdout,0,0.46123992437058414,1
holdout,0,0.07881381231963379,1
holdout,0,0.07214648223703851,1
holdout,0,0.768335157727137,1
holdout,0,0.04348691412080804,0
holdout,0,0.7475370683650114,0
holdout,0,0.7766941984277043,1
holdout,0,0.8425714001393173,1
holdout,0,0.28530202010150263,0
holdout,0,0.38202806249378046,1
holdout,0,0.7610707533087869,1
holdout,0,0.3984476067270375,1
holdout,0,0.21136431485719973,1
holdout,0,0.9746243407304209,1
holdout,0,0.637277341028958,1
holdout,0,0.7598766046372774,0
holdout,0,0.6007562941586228,1
holdout,0,0.404517862473878,0
holdout,0,0.19026768832719673,1
holdout,0,0.22091750422927656,1
holdout,0,0.4581550403025177,0
holdout,0,0.3767539058612797,1
holdout,0,0.8773012240023883,1
holdout,0,0.1933525723952632,1
holdout,0,0.8182903771519554,1
holdout,0,0.36819584038212755,0
holdout,0,0.918996915115932,0
holdout,0,0.7481341427007663,1
holdout,0,0.29973131654891033,0
holdout,0,0.26689222808239627,0
holdout,0,0.06279231764354662,1
holdout,0,0.38740173151557367,0
holdout,0,0.05721962384316848,1
holdout,0,0.5235346800676685,1
holdout,0,0.5382625136829535,0
holdout,0,0.10448800875709026,1
holdout,0,0.7036521046870335,1
holdout,0,0.7785849338242611,1
holdout,0,0.2949547218628719,1
holdout,0,0.8958105284107871,0
holdout,0,0.14628321225992635,1
holdout,0,0.5133844163598368,0
holdout,0,0.9211861876803662,0
holdout,0,0.18688426709125286,1
holdout,0,0.7957010647825654,1
holdout,0,0.4192456960891631,0
holdout,0,0.3383421235943875,0
holdout,0,0.018210767240521446,1
holdout,0,0.4261120509503433,1
holdout,0,0.07572892825156732,0
holdout,0,0.9431784257140013,0
holdout,0,0.3564533784456165,0
holdout,0,0.9810926460344312,1
holdout,0,0.5220419942282815,1
holdout,0,0.2264901980296547,1
holdout,0,0.7105184595482138,1
holdout,0,0.6444422330580157,0
holdout,0,0.4261120509503433,0
holdout,0,0.045278137128072445,0
holdout,0,0.8760075629415862,0
holdout,0,0.49756194646233454,1
holdout,0,0.9446711115533883,1
holdout,0,0.3301821076724052,0
holdout,0,0.5726938003781471,1
holdout,0,0.9000895611503632,0
holdout,0,0.894914916907155,1
holdout,0,0.897900288585929,0
holdout,0,0.6728032640063688,1
holdout,0,0.7841576276246393,1
holdout,0,0.6345905065180615,1
holdout,0,0.20320429893521744,0
holdout,0,0.3784456164792517,1
holdout,0,0.8073440143297841,1
holdout,0,0.9320330381132451,1
holdout,0,0.34172554483033135,0
holdout,0,0.037217633595382625,0
holdout,0,0.11394168573987462,1
holdout,0,0.861677778883471,1
holdout,0,0.39297442531595184,1
holdout,0,0.49606926062294754,0
holdout,0,0.07871429993034133,0
holdout,0,0.9889541247885362,0
holdout,0,0.7741068763061001,1
holdout,0,0.22032042989352174,1
holdout,0,0.9718379938302318,0
holdout,0,0.7546024480047766,0
holdout,0,0.01771320529405911,0
holdout,0,0.9711414071051846,1
holdout,0,0.6007562941586228,1
holdout,0,0.8981988257538064,0
