,BURST_ESVAZIAMENTO_CONTA,BURST_INTENSO_RAPIDO,BURST_VALOR_ALTO,COACAO_FISICA,ESVAZIAMENTO_CONTA,FALSO_FUNCIONARIO_BANCO,IDOSO_VULNERAVEL_70,IDOSO_VULNERAVEL_80,PRIMEIRA_TX_SUSPEITA
BURST_ESVAZIAMENTO_CONTA,42,3,42,0,33,3,7,1,0
BURST_INTENSO_RAPIDO,3,48,30,0,47,11,8,0,0
BURST_VALOR_ALTO,42,30,132,0,98,32,37,3,0
COACAO_FISICA,0,0,0,123,0,33,15,3,123
ESVAZIAMENTO_CONTA,33,47,98,0,133,25,26,0,0
FALSO_FUNCIONARIO_BANCO,3,11,32,33,25,247,53,9,33
IDOSO_VULNERAVEL_70,7,8,37,15,26,53,189,24,15
IDOSO_VULNERAVEL_80,1,0,3,3,0,9,24,24,3
PRIMEIRA_TX_SUSPEITA,0,0,0,123,0,33,15,3,123
