pattern,severity,min_score,tp,fp,fn,tn,precision,recall,f1,f2,fpr,total_ativacoes,is_current
IDOSO_VULNERAVEL_70,CRITICO,14,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_70,CRITICO,15,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,3,13,147,342,99853,0.08125,0.03662,0.050485,0.041139,0.00147,160,False
IDOSO_VULNERAVEL_80,CRITICO,4,13,147,342,99853,0.08125,0.03662,0.050485,0.041139,0.00147,160,False
IDOSO_VULNERAVEL_80,CRITICO,5,13,74,342,99926,0.149425,0.03662,0.058824,0.043132,0.00074,87,False
IDOSO_VULNERAVEL_80,CRITICO,6,11,13,344,99987,0.458333,0.030986,0.058047,0.038089,0.00013,24,True
IDOSO_VULNERAVEL_80,CRITICO,7,3,0,352,100000,1.0,0.008451,0.01676,0.010541,0.0,3,False
IDOSO_VULNERAVEL_80,CRITICO,8,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,9,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,10,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,11,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,12,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,13,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,14,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
IDOSO_VULNERAVEL_80,CRITICO,15,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
