feature,importance_mean,importance_std
vl_pix,0.05546028475194377,0.001428804948721876
qt_tempo_relacionamento_mes,0.025874791268096626,0.003316636063219785
log_vl_pix,0.022589935962746683,0.00447844976344027
topaz_score_filled,0.02166475758832937,0.003663814426677306
rule_score_raw,0.021104680272549997,0.005546219948610058
nr_idade,0.006096451441346068,0.005400503752863744
latencia_host_ratio,-0.0014543442356348302,0.0006115620179391429
latencia_rede_ms_final,-0.0031125501337241736,0.002110039108691129
tempo_processamento_host_ms,-0.0053699180603743735,0.004630487046719359
hour,-0.009812235227302148,0.008811517553338111
