label,TP,FP,FN,TN,Precision,Recall,F1,FPR,seed,config
BASELINE_seed_42,346,14,9,5631,0.961111,0.974648,0.967832,0.00248007,42,BASELINE
C1_NEAR_THRESHOLD_REL_CURTO_FIRST_RECEIVER_seed_42,347,14,8,5631,0.961219,0.977465,0.969274,0.00248007,42,C1_NEAR_THRESHOLD_REL_CURTO_FIRST_RECEIVER
BASELINE_seed_123,346,12,9,5633,0.96648,0.974648,0.970547,0.00212578,123,BASELINE
C1_NEAR_THRESHOLD_REL_CURTO_FIRST_RECEIVER_seed_123,347,12,8,5633,0.966574,0.977465,0.971989,0.00212578,123,C1_NEAR_THRESHOLD_REL_CURTO_FIRST_RECEIVER
