seed,transaction_id,customer_id,vl_pix,nr_idade,qt_tempo_relacionamento_mes,first_receiver_flag,pix_key_random_flag,lgbm_raw,lgbm_mapped,if_percentile,se_score,beh_score,score_final,decisao,exp006e_c1_hit,exp006e_original_decisao,exp006e_original_score_final,exp006e_reason,audit_group
42,E0000020820260205003505340630525,4321433355,381.0,34,6,1,0,0.06847418,59.24,0.446114,0.0,0.0,62.0,CONFIRMAR,True,APROVAR,60.67,"C1_NEAR_THRESHOLD_REL_CURTO_FIRST_RECEIVER: APROVAR->CONFIRMAR | rel<=12, first_receiver=1, pix_random=0, 100<=vl<500, 0.06<=lgbm<0.10, 60<=score<62, SE=0, BEH=0",top_fns_recuperados
123,E0000020820260205003505340630525,4321433355,381.0,34,6,1,0,0.06847418,59.24,0.446114,0.0,0.0,62.0,CONFIRMAR,True,APROVAR,60.67,"C1_NEAR_THRESHOLD_REL_CURTO_FIRST_RECEIVER: APROVAR->CONFIRMAR | rel<=12, first_receiver=1, pix_random=0, 100<=vl<500, 0.06<=lgbm<0.10, 60<=score<62, SE=0, BEH=0",top_fns_recuperados
